	deck	set_id
218	“圣人”​托雷斯女士	479
219	“刀疤”​托奇领主	479
220	The Doctor that Verifies Panthers	452
221	The Apprentice of Amudasopolis	435
222	Thorinn “Scryer” Dapet	435
223	Rigby, Stopstock Khagan	479
224	아지랑이의 집사, 아크릴콘	496
225	Habib, roi du nexus admirable	479
226	R. Nelson, infant du nexus des automates	479
227	Champion Y. Kant	479
228	Salomé la virulente, fermière du port	479
229	Matéo, Archmage du quartier toxique	479
230	“Vortex”, valkyrie de Georgesin	479
231	Van Diemen l'inamovible	479
232	Down‑and‑Out Willa	496
233	They that Offends the Shoppe	496
234	Adam l'ancien, pyrrhonien des égoûts	479
235	O. E. Hill, copiste de la famine	479
236	Experimental “Collector” Vladimir	496
237	S.A.S. “Doc” Barbosa	479
238	Marc le sinistre, messager de l'air	479
239	Matéo, empereur du hameau mystérieux	479
240	Daniella Martin, dame de Khanault	479
241	Y. Morales, marquise de Ladysda	479
242	Nicolas “Chacal” le timide	479
243	Karine la ridicule	479
244	Y. Q. Vega, juge de la débauche	479
245	X. I. Guerin, stratège du mystère	479
246	Bertrand le rusé, farfadet de l'escarbille	479
247	Emperor J. Shadewing	435
248	Glissade, the Admiral of Outer Space	435
249	Kantphase, the Inventor Prodigy	435
250	Svendsen the Silver	435
251	Chancellor “M. Tout‑le‑Monde” Aquino	496
252	Yosef Bonnet, Store Leader	452
253	Brice le fortuné, shogun de la rue	479
254	Zébédée, guetteur du palais infini	479
255	Dadajef, apiculteur de la retraite callipyge	479
256	X. Medina, la bienveillante	479
257	Zorba “Lion”, rebelle du pont	479
258	Véronique, lutteuse du cratère cristallin	479
259	I. D. Lambert, patricienne des ondes	479
260	"The Man who is known as ""Venus"""	496
261	The One who is Rapidly Racing	496
262	Criminal Smoothido	496
263	Huber, Rattacity’s Moneylender	496
264	Rita la noire, guérisseuse de la gloire	479
265	Eusèbe le visqueux	479
266	Typhaine “Torgnole” la folle	479
267	Rita, comtesse du pont fidèle	479
268	Benjamin “Geek”, o Útil	479
269	Vitus Vaultinghause, Store Leader	452
270	Toxia the Perplexingly Modern	496
271	The One who Screams at the Landing	496
272	Cecil el Inacabable	452
273	Xzx. Z. Ouistreham	479
274	Ira la Ardiente, Soñadora del Panal	435
275	Lydia la Artera, Capitana del Arsenal	479
276	M. H. Taggart	452
277	Keturah “Rectora Abubilla” Stafford	435
278	Embajador Blake	479
279	The Hunter that Commiserates With Gold	496
280	Colt, Dreadchamber’s Empress	496
281	The Bronco that Obfuscates The Future	452
282	Borghild “Irmin Bouncer” Fontana	435
283	Mastermind P. Vanee	435
284	Tombcon, Passage Duke	435
285	Q. Speare, the Obelisk Mentor	435
286	Wildfect, Harbor Shepherd	496
287	The Only One who Preserves Disks	341
288	Fabridonna's Tyrannical Chief	496
289	Rogers, Opposing Capital Storyteller	479
290	Clevenzard Pythas-Moorhouse, Justiciar	435
291	The Billowing Doomsayer	435
292	Awfstep Riddle-Fresle, Book Burner	452
293	C. De Campo, the Museum Wizard	341
294	V. Inkman, Cameloborg's Armed Baronette	435
295	Corvus “Whale” Yeroic	435
296	Octave l’affreux	479
297	Serge “Buzz” l'incompris	479
298	Zoubida “Orage”, flibustière du canyon	479
299	Roxanne la fanatique, valkyrie de l'île	479
300	Anne, pythie du royaume cryptique	479
301	F. L. Rothschild, hacker de la colère	479
302	G. T. Finn, pillarde de la gloire	479
303	C. Rhodes, l'abominable	479
304	Joachim “Minus”, copiste de la ruche	479
305	Agnès, meneuse du fjord somnolent	479
306	Richard l’illustre	479
307	Tridirge Wadsworth-Deltrami, Minister	435
308	Yseult la féline, criminelle de la force	479
309	P. Firecrag, the Spaceport Wrongdoer	435
310	Wyrm, Equatop’s Attorney	496
311	Wilhelmina, Cavern Bodyguard	435
312	Sodgerel J. Creepmask, the Ninth	435
313	Aurora V. Haztor, the Sixth	435
314	Graeme, the Skeptic of Sandmoor	435
315	Castistorm, Archives Leader	452
316	Amaira Eriksdottir, Store Leader	452
317	D. Genosa, Lulab's Ad-hoc Outcast	435
318	Understudy Danjuma	435
319	Flavia R. Trutharus, the Supreme	435
320	Yolanda J. Redven, the Second	435
321	Huguette l'intrigante, érudite de l'abandon	479
322	Aggroxania, Fringe Potter	435
323	Galacsmitt Roux-Crysher, Cat Burglar	435
324	Venoflower, the Judge Professor	479
325	Hasty Sloane of the Peak	435
326	Cacique Queiroz Araujo	496
327	Toothface Zelium-Myles, Archivist	435
328	The Minister that Puts a Hat on Bricklaying	435
329	I. Ward, le froid	479
330	Brice l'étrange	479
331	Xalh Y. Yazsoma, Sr.	435
332	Adv. Quanfist, the Thinking Expert	435
333	Woelack, Bayou Soothsayer	435
334	Bastien le cubique, conteur du marais	479
335	Hevensworth of Sudenhold Mountain	435
336	Égérie “Lame” Thomas	479
337	Ximène, ensorceleuse du lac inventif	479
338	R. Cao, diplomate du marais du mystère	479
339	André Garand, sorcier de Katsbush	479
340	Pauline l’hideuse	479
341	Gérante R. Breton	479
342	Dounia l'indolente, chanteuse des taudis	479
343	Didier, commandant de l'asile difforme	479
344	Henry l'abondant	479
345	Salomé “Aombre” la tentaculaire	479
346	Marius, guerrier de la bâtisse prestigieuse	479
347	Beautifully Battleworn Peyton	435
348	Thomas the Partly Luminous	435
349	Sultan “Blades” Pyre	479
350	Clearwright Messorius, the Wise	496
351	Nethzor Quazar, the Twisted and Thinking	479
352	Mrs. “Pinnacle” Legge	479
353	“Metal” Oleeva, Hive Surgeon	435
354	The Beaker that Upgrades Spirits	479
355	Garris the Futile	435
356	睿学游侠	496
357	The Abandoned Oracle Archer of Vineketh	435
358	Coal, the Regulator of Karaslake	435
359	Mister “Spacehook” Zent	435
360	Katriel T. Tragiya, Junior	435
361	Castor, the Beast of Pineglen	435
362	Hulkpion, the Outlaw Thegn	435
363	酆国县尉杜亦凝	479
364	A. Wong, Judge of the Screaming Facility	435
365	Majętna Rebeka „Indygo”	479
366	“黑猫”​卡拉培·格里芬	479
367	Stilthelm Farraway-Costa, Boss	435
368	西凉插翅虎武天曼	479
369	“眩晕”​索尔·沃克	479
370	“燃油”​多诺万将军	479
371	The Divinity who Saves the Manor	496
372	“疯狗长官”​纳丁·罗伯茨	479
373	“燃油”​朱利亚斯男爵	479
374	街区发明家​“纵火犯”拜伦	479
375	伏光斗兽场劫掠者​比尤拉	452
376	Anxiously Experimental Tyus	496
377	Bhagat M. Mabem	496
378	"Filomena ""Jungle"" Pleasance"	496
379	Chancellor T. Vinobard	496
380	The Dramatically Ample Serpent‑stopper	496
381	Rockmle, the Geneticist Warlock	479
382	Usher Penny Samgavoke	479
383	Kisgal, the Boss of the Singularity	479
384	Delta “Boss Ghostfingers” Reno	435
385	Enihorn, the Researcher Scoundrel	479
386	The Remarkable Councilor	479
387	Slick Sythaeryn of the Tower	479
388	Tutrice “Vipère” Colet	479
389	Countess Timefang, the Cackling Queen	479
390	Commander “Holiday” Paimon	435
391	L. Montcarte, Propeak’s Unnerving Bandit	479
392	Christian le hurlant, boss de la courtoisie	479
393	Rayadapper, the Empiricist of the Theater	479
394	Halfjab, Spawn of Slugtower	435
395	Macepower, Plateaus Farmer	479
396	C. Roscomb, Butcher of the Glassy City	341
397	Afeared Raul of the Saloon	479
398	“Bulwark” Kirill, Neighborhood Teacher	479
399	Mentorka Tokarska	452
400	The Stalking Enforcer Weirdo of Evohome	479
401	능숙하게 추측하는 출판인, 스털링	496
402	조직적으로 오염시킨 불 마법사, 에트리안	496
403	The Guru of Cityquarter	479
404	Oakenhost of the Locksmith’s Glacier	479
405	They who Carefully Focus Groups Forgery	452
406	Campeão Lages, Criminoso do Capricho	496
407	The Long‑armed Estate Steward	496
408	L. Thomas, errante de Revkonyr	479
409	Lazare, guide de l'île salutaire	479
410	Yanis, sorcier des catacombes gémissante	479
411	Bénédicte, doyenne du bazar souple	479
412	P. L. David, abbesse de fer	479
413	Gautier le boueux, prince de la cote	479
414	Zero le chauve	479
415	Diane Petit, astrophysicienne de Trytaw	479
416	Daphnée, chercheuse du palais furieux	479
417	Henriette, prévôte de l'obélisque agile	479
418	Victor “Rapido”, baron du bazar	479
419	B. A. Le Roux, prétorienne de sinople	479
420	Xe who Necessarily Ridicules Fauna	479
421	Wick, Causesea Survivalist	435
422	Doubtmare of the Tyrant's Library	435
423	Brice Aubry, chevalier de Mossstol	479
424	Jeannot le jaune, vagabond de l'escarbille	479
425	Boreamis, Trading Post Subject	479
426	Opinionated Inka of the Chateau	435
427	Renaud “Flingueur” le spectaculaire	479
428	Li l'atomique	479
429	Mulligan the Improbably Quicksilver	435
430	Gauvain “Flingue”, pisteur de la muraille	479
431	Marjorie “Rhino”, amirale de la roche	479
432	Christelle Rutherford, sirène de Tavwright	479
433	Sigrun, Dufflead Host	452
434	Z. V. Petit, commandant de l'abomination	479
435	X. Torres, l'espiègle	479
436	“Fronde”, championne de Carba	479
437	Ilyas “Margoulin”, soldat de la station	479
438	Rebellious “Darkblade” Bleys	452
439	F. Crimson, prince du bar des automates	479
440	F. Y. Nathius of the Umbral Park	452
441	Miraculeuse J. Abel	479
442	Josselin le poilu	479
443	Xenia la paresseuse, baronne du zoo	479
444	Edwige Le Roux, magistrate de Kibhorra	479
445	W. L. Stafford, spécialiste de l'affection	479
446	Samotna Fiona z Przepaści	341
447	Générale “Fulgurante” Vega	479
448	J. Nowik, Student z Malowniczego Odludzia	435
449	Zenon, Padlinożerca Wioski	496
450	Marcin „Żbik”, Rzemieślnik Labiryntu	435
451	Christelle la fidèle, savante de la villa	479
452	Poszukiwaczka Galińska	479
453	Lubieżny Cecyliusz „Tygrys”	479
454	Lubieżna Cao	341
455	Miss “Fripouille” Ward	479
456	Minister Walczak	452
457	Guślarka Mroczkowska	496
458	Gotrek “Boomer”, vaurien du chalet	479
459	The Friend that Worries About Tchotchkes	452
460	J. de la Flamme, Iceisle's Common Explorer	341
461	“Steel Toe” Indigo, Valley Cultist	341
462	Timelord Gordon Sharkflare	479
463	Igor, espion de la zone inventive	479
464	Samuel “Ripaille”, moine de la tour	479
465	“Vixen”, amazone de Tectorcopse	479
466	Mallory “Bad Dog” Qatar	479
467	Tsarine L. Finn	479
468	Parahim D. Crimson	479
469	Admiral T. Drekron	479
470	Laurent le gentil, roi du spatioport	479
471	Cooke la riche	479
472	Prosper le naturel, avocat des turpitudes	479
473	Dr U. Thomas	479
474	O. Richard, l’assoiffée	479
475	Sire “Spectre” Barthelemy	479
476	Gemcutter Xylomod	496
477	Braillard Svenson	479
478	W. Talbot, le sage	479
479	Prévôte J. Bernard	479
480	Fortunweasel the “Swab”	496
481	He who Enrages Money	496
482	Impératrice “Hex” Graves	479
483	H. Y. Flores, duchesse de l'énergie	479
484	Olga la borgne, inventrice de la tour	479
485	Saps who Growls at Plotting	496
486	Laïla Lamy, prophétesse de Charlebany	479
487	Guardiana Cao	452
488	Noémie la rousse, tueuse de la débauche	479
489	Fernández, the Marauder of Tigers	452
490	Dominique le blanc, caporal de la réserve	479
491	Nouredine, génie de l'oasis excité	479
492	Ms. Naves Boyanov	452
493	“Sahara”, lieutenante de Nirvacopse	479
494	Hope “Raidhalter” Hyponium	479
495	Hilda “Spirit-Seeker” Kiswalker	479
496	Stanley la Taciturna	341
497	Peerless, Representative of the Chasm	496
498	Inès “Tess” l'argentée	479
499	Pseudobeing, the Mayor of Glimmer	479
500	Daphnée “Chatte Noire” l’affreuse	479
501	Nabila la verte	479
502	Capitaine Lamy	479
503	Investigador el Diamantino	435
504	Worick, Pike Harrier	479
505	“Fripouille”, boulangère de Lydapolis	479
506	Xynthia l'améthyste	479
507	Prosper, lord de la forteresse énergique	479
508	Lying “Upload” Tai	479
509	Auditrice P. Omen	479
510	“Inheritor” Kurum, Observatory Queen	479
511	Yanis “Spike” le timide	479
512	Chevalière Torres	479
513	Faelandalan, the Chief of Whiskers	496
514	G. Stefanov, the Refuge Captain	496
515	Savant Desdemona Quirlate	479
516	Moreau l'anthracite	479
517	Jinx, Archer of the Front	496
518	Ayya N. O. Bauer	496
519	Mistport’s Rabid Traitor	496
520	Lordly Sayay of the Caravansary	479
521	Epimosh the “Architect”	496
522	Samuel l'acide, druide du lac	479
523	Jokely, the Toymaker of Comfycreek	479
524	Aubert le féal	479
525	Kasparov l’illuminée	479
526	Fontaine la manipulatrice	479
527	Donatrice Crimson	479
528	Hero “Linguini” Parker	479
529	The Nightmarish Duchess	435
530	V. Talbot, moine de Swinhearth	479
531	Maître H. Wolf	479
532	Weaponalpha Munter-Garcion, Boss	479
533	Nguyen le gentil	479
534	Caïn, boss de l'église ambitieuse	479
535	Husher of Nighthollow	435
536	Parastar, Spawn of Epidread	479
537	Samuel l’hirsute, spécialiste du cratère	479
538	“Sauce” Otis, Arena Smith	479
539	Madame Q. Johansson	479
540	Cleonis, forgeron de l'édifice altruiste	479
541	Judith la véloce	479
542	L. Johansson, calife de Jalhurst	479
543	André “Lion”, guide de l'arène	479
544	Yann Garcia, abbé de Boltberg	479
545	Hunchelle, He who Outlives the Front	479
546	Tenancière E. Finn	479
547	Vitamaw, Street Professor	479
548	“Bonbon”, rôdeur de Thoroom	479
549	“Truand”, Inquisiteur de Kaireach	479
550	López of Dwarstone	479
551	Torbir, Dutiful Foundry Bronze Sentinel	479
552	Sandra “Sage”, pillarde de la cabane	479
553	Y. Meyer, Harbinger of the Popular Market	479
554	Rachid, servant de la tour spectaculaire	479
555	A. V. Malaiphage of the Sluggish Center	479
556	Gérante M. Dubois	479
557	Mercier le grotesque	479
558	Ophera, Wasteland Malcontent	479
559	Prévôte T. Perret	479
560	Wind the Slimy	479
561	Dr “Virus” Cooke	479
562	Nadia, savante de l'université assoiffée	479
563	Margot l'atomique	479
564	Miss Lamy	479
565	Renaud “Savarin”, roi du clocher	479
566	Vladimir l'éternel, guide du refuge	479
567	The Rejected Acrobat	435
568	Adam le vertueux	479
569	Zorba l'altruiste, Archmage de la fourberie	479
570	Lysandre, clerc de la grotte sceptique	479
571	Kaye, the Technician of The Research	479
572	Y. Barthelemy, nécromancien de Cludeane	479
573	Mathis “Prince”, tueur de la muraille	479
574	Rose balafré, errante de l'antiquité	479
575	The Stalker that Lies to Improvements	479
576	X. Boulanger, druide de la grotte de la faim	479
577	Q. Omen, l'irrésistible	479
578	Égérie “Phénix” Flores	479
579	W. MacIsaac, rebouteuse du bar d'acide	435
580	P. Archer, the Wall Doc	479
581	Championne T. Joly	479
582	Saïd, nécromancien de la base admirable	479
583	J. Fairfax, le vert	479
584	The Tall Guardian of Farlane	479
585	Griffin la fastidieuse	479
586	Laurent, érudit de l'académie aléatoire	479
587	Lauranne “Infinie” la criarde	479
588	Capitaine U. Thomsen	479
589	B. D. Durand, forgeuse de l'iridescence	479
590	Veuve V. Carlier	479
591	“Navaja”, régente de Stonearm	479
592	Cpt. “Missile” Renault	479
593	G.A.D.L.U. R. Barbosa	479
594	H. Boulanger, pilote de Copstream	479
595	Pendragon le toqué	479
596	Y. Ward, l’épineuse	479
597	Jacqueline l'accomplie, nonne des zéniths	479
598	Isaac l'éternel, écuyer de l'observatoire	479
599	Joachim, forçat de la base généreuse	479
600	Yvonne, fermière de l'auberge grise	479
601	Bilal, Haughty Astrolab Wizard	435
602	Nelow “Arcade”, doctoresse du nexus	479
603	“Rajah”, sœur de Makby	479
604	Boss T. Banera	435
605	J. B. Outrich of the Perturbed Lake	435
606	Zakaria l’affûté, comte du limon	479
607	She who Cherishes Evolution	435
608	F. Cope, the River Mechanic	496
609	Hardison the Blood‑Red	496
610	Q. Steele, experte du fjord de la grâce	479
611	Zebb Viville, Mago di Profeziadivina	479
612	Diamond Sentinel O’Shea	496
613	Bialastock, Lavapoint's Hierophant	435
614	Rhodes l'orange	479
615	S.A.S. “Charmeur” Huet	479
616	Arbiter Samuel Naniz	496
617	A. Yored, canaille de Brahmauk	479
618	G.A.D.L.U. U. Jones	479
619	It that Rebounds from Battles Long Past	452
620	Unzi G. Charbother, the Third	496
621	Kevin “Mantis” le rouge	435
622	Aoife, City Chieftain	435
623	Sabrepa, the Mouthy Valley Director	435
624	Vanessa l'ardente, lady de la rivière	435
625	V'rish from the Salt Flat of The Spire	496
626	Mr. “Burps” Hale	435
627	Long Toothed Explorer Blazerise	496
628	Tamara la noire	435
629	Fiennes, Avvocato Difficile	496
630	The Ghostwriter of The Princess	496
631	M. Storm, pyrrhonienne de Chepgrove	435
632	Denis “Kiko”, Peregrino do Palácio	496
633	Madame E. Peters	435
634	The Pulchritudinous Mayor	452
635	Lazare Fairfax, drone de Mutcolor	435
636	Dentimios, Spawn of Hokuover	452
637	Quazar, Bluepark’s Warlock	496
638	Tarpox, the Locksmith of Sleep	496
639	Garand le maladroit	479
640	Langdon, Diver of Necromantic Lore	496
641	Tempest, King of Vapid Treachery	496
642	S. B. Bishop, Paladina dell’Ardore	435
643	Cooper, Operaia Semplice	341
644	Settage Kent-Barker, Demolisher	435
645	Oasis “Lazy Eye” Octibearer	435
646	Extralore, the Khan of the Gaol	435
647	Plato, Underhollow Fatebreaker	435
648	Eli il Sospetto, Lacchè del Pragmatismo	341
649	“Cosmo”, Colei Che Recupera l’Allegria	435
650	Beowulf il Ribelle, Arciduca dell’Agilità	435
651	Practical Bureaucrat Octalan’s Evil Twin	496
652	"""Nosedive"" Peyton Fagan"	496
653	Keva “Puzzle”, Segugio del Valico	479
654	Arnhardt, Unnerving Tower Castellan	435
655	Kariudo, the Browbeater of Dance	452
656	J. Holt, the Shanty Poet	452
657	Dazblade Stargazer-Avery, Baroness	479
658	“Marionetta”, Astronauta di Cetrasana	479
659	G. Postumius, Gailchapel's Crested Nurse	435
660	Carmelo, Long-winded Quarter Baker	435
661	Quegful Aguire-Ishikawa, Warmaster	435
662	Meira Kimura, Infiltratrice di Ragnocupo	479
663	Cornock the Hyperbolic	435
664	The Khan of Barracksarena	435
665	Mourninglance of the Artisan's Hill	435
666	Powerhook, the Duchess of Bargains	435
667	Nemo, Vale Mathemagician	435
668	Augustina “Mr. Snowflake” Bialastock	435
669	T. Quiroga, the Oubliette Orphan	435
670	Stoev of Verdjungle	435
671	V. Valeria, Outersea's Sluggish Drifter	435
672	Omnilion, Wall Gangster	496
673	Vampow Mello-Aguirre, Queen	479
674	Mitchen, Gargate’s Bureaucrat	496
675	Edelfrau „Witwe“ Crone	435
676	Kasimir, Bote des herrlichen Irrenhauses	496
677	Erwan le lugubre, caporal des ruines	479
678	“Ratto”, Gendarme di Orangolegnoso	452
679	C. Y. Moreau, the Sixth’s Evil Twin	496
680	Baru's Slick Bishop	496
681	Catherine, gardienne de la lune irrésistible	479
682	Nabila, guetteuse de l'avant-poste pauvre	479
683	The Absent-Minded Engineer	452
684	Sloane “Vertigo” Harmblaze	496
